Dr.V.SANGEETHA,ASSO. PROFESSOR & HOD,https://sites.google.com/a/kongu.edu/sangeetha-v/
Dr.K.KANNAN,PROFESSOR,https://sites.google.com/kongu.edu/drkkannan?usp=sharing
Dr.C.GOMADURAI,ASSO.PROFESSOR,https://sites.google.com/a/kongu.edu/gomadurai/
Dr.A.S.PERIASAMY MANIKANDAN,ASSO.PROFESSOR,https://sites.google.com/a/kongu.edu/aspm/
Dr.D.NESAKUMAR,AP(SRG),https://sites.google.com/a/kongu.edu/nesakumar/
K.KALAIVANI,AP(SRG),https://sites.google.com/a/kongu.edu/kalaivanik-chem/
Dr.G.MUGAISHUDEEN,AP(SRG),https://sites.google.com/a/kongu.edu/mugais-chem/
Dr.S.MOTHIL,A.P.,https://sites.google.com/a/kongu.edu/mothil-chem/
J.JAYABHARATHI,A.P.,https://sites.google.com/a/kongu.edu/jaya-chem/
R.SATHISH RAAM,A.P.,https://sites.google.com/a/kongu.edu/sathishraam-chem/
S. YUVARAJ,A.P.,https://docs.google.com/document/d/e/2PACX-1vQI0uQmgmM2F0h6IEraOjKKFa1Sdtbk-oXEBz8fmNzrW7wHSHrHNMcaZ-zvWHWgRA/pub
Dr.M.CHIDAMBARAM,VISITING PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vRouv5Q6UzZfQqElgnnSPG_VSIWQMk_2TUCPJROiCvi35PIxmb3LEAeg5Q8ZmJVTQ/pub
Mr.R.RAVI,ADJUNCT FACULTY,https://kongu.ac.in/departments/chemical.php
